                  relname                  | reltuples | relpages 
 pg_shdepend_reference_index               |       284 |        2
 pg_tablespace_oid_index                   |         2 |        2
 pg_tablespace_spcname_index               |         2 |        2
 pg_toast_88269                            |         7 |        2
 link                                      |       155 |        2
 pg_rewrite_oid_index                      |       121 |        2
 website_activity_map                      |       200 |        2
 pg_attrdef                                |        51 |        2
 profile_seasonaljobs_company_id_key       |        21 |        2
 feature_id_key                            |         5 |        2
 cat_act_map                               |       246 |        2
 prod_opt_map                              |       369 |        2
 contract_type_id_key                      |         6 |        2
 pg_conversion_default_index               |       132 |        2
 pg_conversion_name_nsp_index              |       132 |        2
 pg_ts_template_tmplname_index             |         5 |        2
 continent_id_key                          |         8 |        2
 pg_opclass_am_name_nsp_index              |       133 |        2
 duration_id_key                           |         6 |        2
 pg_ts_config_oid_index                    |        16 |        2
 pg_opfamily                               |       115 |        2
 pg_cast                                   |       219 |        2
 pg_am_oid_index                           |         6 |        2
 pg_attrdef_oid_index                      |        51 |        2
 pg_opfamily_am_name_nsp_index             |       115 |        2
 pg_cast_oid_index                         |       219 |        2
 pg_toast_88335_index                      |       160 |        2
 pg_constraint                             |        56 |        2
 pg_init_privs                             |       149 |        2
 feature_sidebar_item_id_key               |        57 |        2
 activity_pkey                             |       246 |        2
 pg_sequence_seqrelid_index                |        25 |        2
 pg_opclass_oid_index                      |       133 |        2
 pg_index_indrelid_index                   |       241 |        2
 profile_teaching_company_id_key           |        17 |        2
 cat_id                                    |         9 |        2
 pg_toast_88657_index                      |       263 |        2
 pg_aggregate                              |       139 |        2
 pg_index_indexrelid_index                 |       241 |        2
 pg_aggregate_fnoid_index                  |       139 |        2
 pg_language_oid_index                     |         4 |        2
 pg_ts_config_cfgname_index                |        16 |        2
 pg_rewrite_rel_rulename_index             |       121 |        2
 pg_am_name_index                          |         6 |        2
 pg_toast_88787_index                      |         2 |        2
 pg_toast_88269_index                      |         7 |        2
 url_maker_test_pkey                       |         3 |        2
 pg_conversion_oid_index                   |       132 |        2
 profile_type_id_key                       |         5 |        2
 pg_toast_88454_index                      |         1 |        2
 pg_toast_2618_index                       |       226 |        2
 pg_extension_name_index                   |         1 |        2
 pg_namespace_oid_index                    |         6 |        2
 pg_ts_parser_prsname_index                |         1 |        2
 pg_ts_parser_oid_index                    |         1 |        2
 pg_opfamily_oid_index                     |       115 |        2
 pg_constraint_contypid_index              |        56 |        2
 pg_language_name_index                    |         4 |        2
 pg_trigger_tgrelid_tgname_index           |        40 |        2
 country_pkey                              |       156 |        2
 pg_extension_oid_index                    |         1 |        2
 pg_toast_88698_index                      |        15 |        2
 price_range_id_key                        |         7 |        2
 website_pkey                              |         1 |        2
 pg_toast_88844_index                      |        20 |        2
 pg_constraint_conrelid_index              |        56 |        2
 refdata_type_id_key                       |        28 |        2
 listing_option_id_key                     |        54 |        2
 pg_trigger_tgconstraint_index             |        40 |        2
 pg_toast_88834_index                      |       187 |        2
 country                                   |       156 |        2
 link_id_key                               |       155 |        2
 pg_ts_template_oid_index                  |         5 |        2
 pg_range_rngtypid_index                   |         6 |        2
 pg_init_privs_o_c_o_index                 |       149 |        2
 pg_toast_88303_index                      |       320 |        2
 event_id_key                              |         3 |        2
 pg_ts_config_map                          |       304 |        2
 option_id_key                             |        24 |        2
 pg_constraint_conname_nsp_index           |        56 |        2
 pg_trigger_oid_index                      |        40 |        2
 profile_tour_p_hdr_id_key                 |       344 |        2
 profile_types_id_key                      |        10 |        2
 feature_sidebar_id_key                    |        10 |        2
 pg_ts_dict_dictname_index                 |        16 |        2
 pg_ts_dict_oid_index                      |        16 |        2
 profile_job_p_hdr_id_key                  |       152 |        2
